É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/07/05 19:02:21

,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘)
,,,,,,,,,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2022/1/1,3.4,8,1,8.2,8,1,-0.9,8,1,0,1,8,1,2.8,8,1,9.6,0,8,1
2022/1/2,4.6,8,1,9.2,8,1,1.2,8,1,0,1,8,1,2.8,8,1,7.0,0,8,1
2022/1/3,6.4,8,1,9.9,8,1,3.2,8,1,0,1,8,1,3.1,8,1,9.5,0,8,1
2022/1/4,6.2,8,1,13.1,8,1,2.4,8,1,0,1,8,1,4.3,8,1,9.5,0,8,1
2022/1/5,4.9,8,1,8.7,8,1,2.6,8,1,0,1,8,1,5.9,8,1,9.4,0,8,1
2022/1/6,1.1,8,1,3.1,8,1,-0.3,8,1,4.5,0,8,1,3.9,8,1,0.0,0,8,1
2022/1/7,3.5,8,1,9.2,8,1,-1.5,8,1,0,1,8,1,4.2,8,1,9.1,0,8,1
2022/1/8,5.7,8,1,9.4,8,1,2.8,8,1,0,1,8,1,2.8,8,1,8.2,0,8,1
2022/1/9,7.2,8,1,11.7,8,1,1.3,8,1,0,1,8,1,2.2,8,1,7.9,0,8,1
2022/1/10,8.3,8,1,10.1,8,1,6.7,8,1,0.0,0,8,1,3.7,8,1,0.2,0,8,1
2022/1/11,6.1,8,1,8.4,8,1,4.8,8,1,16.0,0,8,1,2.7,8,1,0.0,0,8,1
2022/1/12,6.1,8,1,9.4,8,1,3.1,8,1,0,1,8,1,3.4,8,1,9.5,0,8,1
2022/1/13,5.5,8,1,11.1,8,1,2.4,8,1,0,1,8,1,4.3,8,1,7.5,0,8,1
2022/1/14,4.9,8,1,9.3,8,1,1.4,8,1,0,1,8,1,2.9,8,1,9.8,0,8,1
2022/1/15,5.9,8,1,10.8,8,1,1.5,8,1,0,1,8,1,2.5,8,1,8.5,0,8,1
2022/1/16,6.7,8,1,13.0,8,1,2.2,8,1,0,1,8,1,2.8,8,1,9.5,0,8,1
2022/1/17,7.2,8,1,10.9,8,1,3.0,8,1,0,1,8,1,2.1,8,1,5.4,0,8,1
2022/1/18,5.1,8,1,8.7,8,1,2.7,8,1,0,1,8,1,4.2,8,1,9.0,0,8,1
2022/1/19,4.5,8,1,7.5,8,1,1.5,8,1,0,1,8,1,2.7,8,1,2.9,0,8,1
2022/1/20,4.1,8,1,8.4,8,1,0.2,8,1,0,1,8,1,4.1,8,1,9.1,0,8,1
2022/1/21,3.8,8,1,7.5,8,1,1.1,8,1,0,1,8,1,5.2,8,1,9.8,0,8,1
2022/1/22,5.1,8,1,8.9,8,1,0.9,8,1,0,1,8,1,2.5,8,1,8.6,0,8,1
2022/1/23,5.3,8,1,7.2,8,1,2.5,8,1,0.0,0,8,1,3.0,8,1,0.3,0,8,1
2022/1/24,7.0,8,1,10.7,8,1,3.3,8,1,0.0,0,8,1,3.7,8,1,5.3,0,8,1
2022/1/25,5.2,8,1,7.7,8,1,2.3,8,1,0.5,0,8,1,2.2,8,1,1.3,0,8,1
2022/1/26,6.0,8,1,9.3,8,1,4.2,8,1,0.0,0,8,1,3.3,8,1,2.9,0,8,1
2022/1/27,6.9,8,1,11.2,8,1,3.3,8,1,0,1,8,1,3.7,8,1,2.2,0,8,1
2022/1/28,6.9,8,1,9.9,8,1,5.2,8,1,0.0,0,8,1,3.7,8,1,3.0,0,8,1
2022/1/29,6.3,8,1,9.4,8,1,3.6,8,1,0,1,8,1,2.8,8,1,4.2,0,8,1
2022/1/30,5.6,8,1,8.0,8,1,3.4,8,1,0,1,8,1,4.5,8,1,3.3,0,8,1
2022/1/31,5.5,8,1,10.4,8,1,1.9,8,1,0,1,8,1,4.6,8,1,9.3,0,8,1
2022/2/1,6.4,8,1,10.4,8,1,2.1,8,1,0,1,8,1,3.6,8,1,8.9,0,8,1
2022/2/2,6.6,8,1,11.0,8,1,2.5,8,1,0,1,8,1,2.4,8,1,9.0,0,8,1
